order_id,order_date,promised_delivery_date,customer_region,order_priority,order_channel,order_status
O-100917,2024-03-01,2024-03-09,Limpopo,Normal,Mobile,Completed
O-100918,2024-03-15,2024-03-21,Mpumalanga,Normal,Mobile,Completed
O-100919,2024-03-29,2024-04-04,Free State,Normal,Web,Completed
O-100920,2024-03-04,2024-03-10,Western Cape,Express,Web,Completed
O-100921,2024-04-23,2024-05-01,Limpopo,Normal,Mobile,Completed
O-100922,2024-01-20,2024-01-27,Gauteng,Normal,Web,Completed
O-100923,2024-03-19,2024-03-26,Western Cape,Express,Mobile,Completed
O-100924,2024-01-03,2024-01-09,Gauteng,Normal,Web,Completed
O-100925,2024-03-06,2024-03-11,KwaZulu-Natal,Normal,Web,Completed
O-100926,2024-03-15,2024-03-20,KwaZulu-Natal,Normal,Web,Completed
O-100927,2024-02-09,2024-02-21,Mpumalanga,Normal,Web,Completed
O-100928,2024-02-24,2024-03-01,Limpopo,Express,Web,Completed
O-100929,2024-02-28,2024-03-04,Western Cape,Express,Web,Completed
O-100930,2024-03-28,2024-04-02,Limpopo,Express,Mobile,Completed
O-100931,2024-04-15,2024-04-22,Free State,Normal,Web,Completed
O-100932,2024-04-04,2024-04-12,Free State,Express,Web,Completed
O-100933,2024-02-22,2024-02-28,Free State,Express,Mobile,Completed
O-100934,2024-01-29,2024-02-05,Gauteng,Normal,Mobile,Completed
O-100935,2024-04-17,2024-04-24,Gauteng,Normal,Mobile,Completed
O-100936,2024-03-28,2024-04-03,Mpumalanga,Normal,Mobile,Completed
O-100937,2024-02-06,2024-02-16,Gauteng,Express,Mobile,Completed
O-100938,2024-01-11,2024-01-17,Limpopo,Normal,Web,Completed
O-100939,2024-02-08,2024-02-13,Mpumalanga,Normal,Mobile,Completed
O-100940,2024-01-26,2024-01-31,Western Cape,Express,Mobile,Completed
O-100941,2024-03-28,2024-04-03,Mpumalanga,Normal,Mobile,Completed
O-100942,2024-04-28,2024-05-03,Free State,Normal,Web,Completed
O-100943,2024-03-04,2024-03-12,KwaZulu-Natal,Normal,Web,Completed
O-100944,2024-02-13,2024-02-18,Free State,Normal,Web,Completed
O-100945,2024-04-28,2024-05-05,Limpopo,Express,Mobile,Completed
O-100946,2024-02-22,2024-02-26,Gauteng,Normal,Web,Completed
O-100947,2024-02-17,2024-02-25,KwaZulu-Natal,Normal,Mobile,Completed
O-100948,2024-04-15,2024-04-21,KwaZulu-Natal,Normal,Web,Completed
O-100949,2024-03-21,2024-03-29,Gauteng,Express,Web,Completed
O-100950,2024-03-25,2024-04-01,Limpopo,Normal,Mobile,Completed
O-100951,2024-03-23,2024-03-30,Gauteng,Normal,Web,Completed
O-100952,2024-02-08,2024-02-18,Mpumalanga,Normal,Web,Completed
O-100953,2024-01-13,2024-01-21,Mpumalanga,Express,Mobile,Completed
O-100954,2024-03-17,2024-03-25,Gauteng,Normal,Mobile,Completed
O-100955,2024-01-04,2024-01-12,Limpopo,Express,Web,Completed
O-100956,2024-02-28,2024-03-07,Mpumalanga,Normal,Web,Completed
O-100957,2024-04-03,2024-04-09,Mpumalanga,Express,Web,Completed
O-100958,2024-03-20,2024-03-30,Limpopo,Normal,Web,Completed
O-100959,2024-03-02,2024-03-10,KwaZulu-Natal,Normal,Mobile,Completed
O-100960,2024-01-03,2024-01-09,Limpopo,Express,Web,Completed
O-100961,2024-04-02,2024-04-07,Western Cape,Express,Mobile,Completed
O-100962,2024-02-10,2024-02-19,Limpopo,Normal,Mobile,Completed
O-100963,2024-01-22,2024-01-28,Gauteng,Express,Mobile,Completed
O-100964,2024-02-18,2024-02-28,Western Cape,Normal,Mobile,Completed
O-100965,2024-04-06,2024-04-12,Mpumalanga,Normal,Web,Completed
O-100966,2024-03-31,2024-04-07,Gauteng,Normal,Web,Completed
O-100967,2024-04-20,2024-04-24,Gauteng,Express,Mobile,Completed
O-100968,2024-03-01,2024-03-09,Mpumalanga,Normal,Mobile,Completed
O-100969,2024-01-17,2024-01-24,Limpopo,Normal,Mobile,Completed
O-100970,2024-04-19,2024-04-23,Free State,Express,Web,Completed
O-100971,2024-01-21,2024-01-30,KwaZulu-Natal,Normal,Web,Completed
O-100972,2024-03-13,2024-03-21,KwaZulu-Natal,Normal,Web,Completed
O-100973,2024-02-21,2024-02-28,KwaZulu-Natal,Normal,Mobile,Completed
O-100974,2024-04-20,2024-04-25,Free State,Normal,Mobile,Completed
O-100975,2024-02-01,2024-02-07,Western Cape,Normal,Mobile,Completed
O-100976,2024-02-26,2024-03-05,KwaZulu-Natal,Normal,Mobile,Completed
O-100977,2024-04-13,2024-04-21,Gauteng,Normal,Web,Completed
O-100978,2024-04-04,2024-04-07,Mpumalanga,Express,Web,Completed
O-100979,2024-03-25,2024-04-01,Mpumalanga,Express,Web,Completed
O-100980,2024-04-11,2024-04-21,Limpopo,Normal,Web,Completed
O-100981,2024-04-14,2024-04-19,KwaZulu-Natal,Normal,Web,Completed
O-100982,2024-04-24,2024-05-01,Free State,Normal,Mobile,Completed
O-100983,2024-01-17,2024-01-22,Free State,Normal,Mobile,Completed
O-100984,2024-04-28,2024-05-05,KwaZulu-Natal,Normal,Web,Completed
O-100985,2024-02-18,2024-02-27,Limpopo,Normal,Mobile,Completed
O-100986,2024-03-21,2024-03-29,Limpopo,Normal,Mobile,Completed
O-100987,2024-02-27,2024-03-07,Limpopo,Normal,Mobile,Completed
O-100988,2024-01-28,2024-02-04,Gauteng,Normal,Mobile,Completed
O-100989,2024-03-03,2024-03-11,Mpumalanga,Express,Web,Completed
O-100990,2024-02-07,2024-02-14,Western Cape,Normal,Mobile,Completed
O-100991,2024-01-14,2024-01-23,Free State,Normal,Web,Completed
O-100992,2024-01-24,2024-01-31,Free State,Normal,Mobile,Completed
O-100993,2024-03-23,2024-03-30,Limpopo,Express,Web,Completed
O-100994,2024-03-20,2024-03-23,Gauteng,Express,Mobile,Completed
O-100995,2024-02-13,2024-02-21,Mpumalanga,Normal,Web,Completed
O-100996,2024-03-24,2024-03-29,KwaZulu-Natal,Express,Mobile,Completed
O-100997,2024-04-27,2024-05-02,Free State,Normal,Web,Completed
O-100998,2024-03-29,2024-04-03,Gauteng,Express,Mobile,Completed
O-100999,2024-04-06,2024-04-12,KwaZulu-Natal,Normal,Mobile,Completed
O-101000,2024-04-19,2024-04-24,Gauteng,Normal,Web,Completed
O-101001,2024-01-05,2024-01-13,KwaZulu-Natal,Normal,Mobile,Completed
O-101002,2024-03-08,2024-03-15,Western Cape,Normal,Mobile,Completed
O-101003,2024-04-13,2024-04-21,Limpopo,Normal,Web,Completed
O-101004,2024-03-29,2024-04-03,Free State,Express,Mobile,Completed
O-101005,2024-03-04,2024-03-10,Gauteng,Normal,Mobile,Completed
O-101006,2024-02-25,2024-02-29,Free State,Normal,Web,Completed
O-101007,2024-02-28,2024-03-09,KwaZulu-Natal,Normal,Web,Completed
O-101008,2024-01-30,2024-02-05,Western Cape,Express,Web,Completed
O-101009,2024-03-17,2024-03-21,Western Cape,Normal,Web,Completed
O-101010,2024-02-23,2024-03-04,Mpumalanga,Normal,Mobile,Completed
O-101011,2024-02-27,2024-03-06,Western Cape,Normal,Mobile,Completed
O-101012,2024-02-21,2024-02-27,Western Cape,Normal,Web,Completed
O-101013,2024-04-20,2024-04-26,Free State,Normal,Mobile,Completed
O-101014,2024-02-11,2024-02-19,Gauteng,Express,Web,Completed
O-101015,2024-04-18,2024-04-21,Mpumalanga,Express,Mobile,Completed
O-101016,2024-04-27,2024-05-01,Gauteng,Normal,Web,Completed
O-101017,2024-02-14,2024-02-19,KwaZulu-Natal,Express,Web,Completed
O-101018,2024-01-15,2024-01-21,Gauteng,Express,Web,Completed
O-101019,2024-04-26,2024-05-01,KwaZulu-Natal,Normal,Web,Completed
O-101020,2024-02-27,2024-03-06,Gauteng,Normal,Mobile,Completed
O-101021,2024-01-05,2024-01-12,Limpopo,Normal,Mobile,Completed
O-101022,2024-01-18,2024-01-25,Limpopo,Normal,Mobile,Completed
O-101023,2024-01-07,2024-01-15,Gauteng,Normal,Mobile,Completed
O-101024,2024-04-16,2024-04-25,Limpopo,Normal,Web,Completed
O-101025,2024-01-20,2024-01-28,Free State,Normal,Mobile,Completed
O-101026,2024-01-17,2024-01-27,Mpumalanga,Express,Web,Completed
O-101027,2024-02-05,2024-02-10,Western Cape,Normal,Mobile,Completed
O-101028,2024-04-21,2024-04-27,Western Cape,Normal,Mobile,Completed
O-101029,2024-01-04,2024-01-09,Western Cape,Normal,Mobile,Completed
O-101030,2024-01-31,2024-02-08,Western Cape,Normal,Mobile,Completed
O-101031,2024-01-31,2024-02-08,Mpumalanga,Express,Web,Completed
O-101032,2024-04-29,2024-05-03,Limpopo,Normal,Mobile,Completed
O-101033,2024-03-20,2024-03-28,Limpopo,Normal,Web,Completed
O-101034,2024-03-09,2024-03-16,Western Cape,Express,Mobile,Completed
O-101035,2024-02-14,2024-02-19,Western Cape,Normal,Web,Completed
O-101036,2024-04-19,2024-04-29,Limpopo,Normal,Web,Completed
O-101037,2024-04-15,2024-04-18,Gauteng,Express,Mobile,Completed
O-101038,2024-03-14,2024-03-22,Western Cape,Normal,Mobile,Completed
O-101039,2024-03-07,2024-03-13,Mpumalanga,Express,Mobile,Completed
O-101040,2024-02-10,2024-02-19,Free State,Normal,Mobile,Completed
O-101041,2024-01-22,2024-01-31,Free State,Normal,Mobile,Completed
O-101042,2024-03-17,2024-03-25,Western Cape,Express,Web,Completed
O-101043,2024-01-14,2024-01-18,Gauteng,Normal,Web,Completed
O-101044,2024-01-23,2024-01-30,Gauteng,Normal,Mobile,Completed
O-101045,2024-04-25,2024-04-30,Mpumalanga,Normal,Mobile,Completed
O-101046,2024-04-29,2024-05-07,Limpopo,Normal,Mobile,Completed
O-101047,2024-04-19,2024-04-23,Mpumalanga,Normal,Web,Completed
O-101048,2024-03-18,2024-03-25,Gauteng,Normal,Mobile,Completed
O-101049,2024-03-15,2024-03-23,KwaZulu-Natal,Normal,Web,Completed
O-101050,2024-04-28,2024-05-03,Limpopo,Normal,Web,Completed
O-101051,2024-02-11,2024-02-16,Gauteng,Express,Web,Completed
O-101052,2024-01-18,2024-01-23,Gauteng,Express,Mobile,Completed
O-101053,2024-04-17,2024-04-22,KwaZulu-Natal,Normal,Web,Completed
O-101054,2024-01-04,2024-01-11,Gauteng,Express,Web,Completed
O-101055,2024-01-27,2024-02-06,Free State,Normal,Mobile,Completed
O-101056,2024-04-28,2024-05-02,Mpumalanga,Normal,Mobile,Completed
O-101057,2024-02-12,2024-02-14,Mpumalanga,Express,Web,Completed
O-101058,2024-03-30,2024-04-06,Western Cape,Normal,Web,Completed
O-101059,2024-03-16,2024-03-22,KwaZulu-Natal,Normal,Mobile,Completed
O-101060,2024-03-11,2024-03-16,Mpumalanga,Normal,Web,Completed
O-101061,2024-03-07,2024-03-14,Free State,Normal,Mobile,Completed
O-101062,2024-04-15,2024-04-21,Mpumalanga,Normal,Mobile,Completed
O-101063,2024-01-20,2024-01-25,Free State,Normal,Web,Completed
O-101064,2024-04-05,2024-04-10,Limpopo,Normal,Web,Completed
O-101065,2024-01-19,2024-01-25,Free State,Normal,Web,Completed
O-101066,2024-04-02,2024-04-07,Western Cape,Normal,Web,Completed
O-101067,2024-04-12,2024-04-20,Free State,Normal,Mobile,Completed
O-101068,2024-02-26,2024-03-04,Free State,Normal,Mobile,Completed
O-101069,2024-01-05,2024-01-11,Western Cape,Normal,Mobile,Completed
O-101070,2024-02-27,2024-03-05,Limpopo,Normal,Mobile,Completed
O-101071,2024-01-09,2024-01-18,Gauteng,Normal,Web,Completed
O-101072,2024-04-03,2024-04-09,Mpumalanga,Normal,Mobile,Completed
O-101073,2024-01-31,2024-02-08,KwaZulu-Natal,Normal,Mobile,Completed
O-101074,2024-04-25,2024-05-03,KwaZulu-Natal,Normal,Web,Completed
O-101075,2024-04-05,2024-04-10,Gauteng,Express,Mobile,Completed
O-101076,2024-04-16,2024-04-21,Free State,Normal,Mobile,Completed
O-101077,2024-01-26,2024-01-29,Mpumalanga,Normal,Mobile,Completed
O-101078,2024-03-15,2024-03-19,Limpopo,Express,Web,Completed
O-101079,2024-03-11,2024-03-20,KwaZulu-Natal,Normal,Mobile,Completed
O-101080,2024-03-15,2024-03-21,KwaZulu-Natal,Express,Web,Completed
O-101081,2024-01-12,2024-01-20,Limpopo,Normal,Mobile,Completed
O-101082,2024-02-18,2024-02-24,Gauteng,Normal,Web,Completed
O-101083,2024-01-28,2024-01-31,Free State,Express,Mobile,Completed
O-101084,2024-03-17,2024-03-24,Gauteng,Normal,Web,Completed
O-101085,2024-04-27,2024-05-05,Limpopo,Normal,Web,Completed
O-101086,2024-01-27,2024-02-01,Western Cape,Normal,Web,Completed
O-101087,2024-03-06,2024-03-11,KwaZulu-Natal,Normal,Web,Completed
O-101088,2024-01-10,2024-01-17,Gauteng,Normal,Mobile,Completed
O-101089,2024-03-05,2024-03-13,Gauteng,Normal,Mobile,Completed
O-101090,2024-01-02,2024-01-09,Free State,Normal,Web,Completed
O-101091,2024-01-12,2024-01-18,Limpopo,Normal,Mobile,Completed
O-101092,2024-01-10,2024-01-18,Free State,Normal,Web,Completed
O-101093,2024-02-27,2024-03-05,Free State,Normal,Web,Completed
O-101094,2024-02-05,2024-02-13,Gauteng,Normal,Web,Completed
O-101095,2024-02-25,2024-03-01,Limpopo,Express,Web,Completed
O-101096,2024-03-07,2024-03-18,Mpumalanga,Normal,Web,Completed
O-101097,2024-03-09,2024-03-16,Free State,Normal,Mobile,Completed
O-101098,2024-04-04,2024-04-08,Gauteng,Normal,Mobile,Completed
O-101099,2024-03-27,2024-04-02,Limpopo,Normal,Web,Completed
O-101100,2024-02-10,2024-02-15,Gauteng,Normal,Web,Completed
O-101101,2024-01-27,2024-02-03,Gauteng,Normal,Web,Completed
O-101102,2024-03-19,2024-03-24,KwaZulu-Natal,Express,Mobile,Completed
O-101103,2024-04-01,2024-04-06,Western Cape,Normal,Mobile,Completed
O-101104,2024-03-24,2024-03-31,Free State,Normal,Web,Completed
O-101105,2024-01-25,2024-02-01,Mpumalanga,Normal,Web,Completed
O-101106,2024-03-29,2024-04-07,Free State,Normal,Web,Completed
O-101107,2024-02-08,2024-02-13,KwaZulu-Natal,Express,Web,Completed
O-101108,2024-03-30,2024-04-07,Free State,Normal,Web,Completed
O-101109,2024-02-27,2024-03-02,Mpumalanga,Normal,Mobile,Completed
O-101110,2024-03-24,2024-03-29,Gauteng,Normal,Web,Completed
O-101111,2024-01-03,2024-01-08,Gauteng,Normal,Mobile,Completed
O-101112,2024-02-08,2024-02-14,Limpopo,Express,Mobile,Completed
O-101113,2024-02-14,2024-02-19,Western Cape,Express,Mobile,Completed
O-101114,2024-04-01,2024-04-09,Gauteng,Normal,Web,Completed
O-101115,2024-03-23,2024-03-31,Mpumalanga,Normal,Mobile,Completed
O-101116,2024-01-26,2024-01-31,Gauteng,Normal,Mobile,Completed
O-101117,2024-04-21,2024-04-30,Mpumalanga,Normal,Web,Completed
O-101118,2024-03-18,2024-03-25,Limpopo,Normal,Mobile,Completed
O-101119,2024-04-07,2024-04-14,Gauteng,Normal,Web,Completed
O-101120,2024-04-22,2024-05-02,Limpopo,Normal,Web,Completed
O-101121,2024-04-27,2024-05-02,Limpopo,Express,Web,Completed
O-101122,2024-03-08,2024-03-16,Gauteng,Normal,Mobile,Completed
O-101123,2024-02-20,2024-02-26,Western Cape,Express,Mobile,Completed
O-101124,2024-01-13,2024-01-18,Limpopo,Express,Mobile,Completed
O-101125,2024-01-04,2024-01-12,Free State,Normal,Web,Completed
O-101126,2024-01-11,2024-01-18,Gauteng,Normal,Web,Completed
O-101127,2024-04-23,2024-04-30,Gauteng,Normal,Web,Completed
O-101128,2024-02-23,2024-02-28,Western Cape,Normal,Web,Completed
O-101129,2024-02-04,2024-02-14,Limpopo,Normal,Mobile,Completed
O-101130,2024-01-30,2024-02-08,Free State,Express,Mobile,Completed
O-101131,2024-03-29,2024-04-04,Free State,Normal,Mobile,Completed
O-101132,2024-03-04,2024-03-11,Free State,Normal,Web,Completed
O-101133,2024-04-15,2024-04-18,Gauteng,Normal,Mobile,Completed
O-101134,2024-03-14,2024-03-19,Mpumalanga,Normal,Web,Completed
O-101135,2024-04-11,2024-04-15,Mpumalanga,Express,Mobile,Completed
O-101136,2024-01-04,2024-01-09,Mpumalanga,Normal,Web,Completed
O-101137,2024-03-11,2024-03-22,Free State,Normal,Mobile,Completed
O-101138,2024-01-24,2024-01-31,Western Cape,Express,Web,Completed
O-101139,2024-01-27,2024-02-01,Gauteng,Normal,Mobile,Completed
O-101140,2024-02-16,2024-02-20,Limpopo,Express,Web,Completed
O-101141,2024-02-08,2024-02-14,Free State,Express,Web,Completed
O-101142,2024-01-04,2024-01-10,Gauteng,Normal,Web,Completed
O-101143,2024-02-05,2024-02-10,Gauteng,Express,Web,Completed
O-101144,2024-01-01,2024-01-07,KwaZulu-Natal,Normal,Mobile,Completed
O-101145,2024-01-06,2024-01-13,KwaZulu-Natal,Normal,Web,Completed
O-101146,2024-04-10,2024-04-16,KwaZulu-Natal,Normal,Web,Completed
O-101147,2024-02-11,2024-02-19,KwaZulu-Natal,Normal,Mobile,Completed
O-101148,2024-01-27,2024-02-04,Mpumalanga,Normal,Web,Completed
O-101149,2024-02-02,2024-02-10,Free State,Normal,Web,Completed
O-101150,2024-04-26,2024-05-03,Limpopo,Normal,Mobile,Completed
O-101151,2024-03-22,2024-03-28,Limpopo,Normal,Web,Completed
O-101152,2024-04-04,2024-04-12,Western Cape,Express,Mobile,Completed
O-101153,2024-04-22,2024-04-28,Mpumalanga,Normal,Web,Completed
O-101154,2024-01-06,2024-01-12,Free State,Normal,Web,Completed
O-101155,2024-01-16,2024-01-22,Gauteng,Express,Web,Completed
O-101156,2024-02-18,2024-02-24,Limpopo,Normal,Mobile,Completed
O-101157,2024-03-09,2024-03-15,Western Cape,Express,Web,Completed
O-101158,2024-02-08,2024-02-16,Mpumalanga,Normal,Mobile,Completed
O-101159,2024-01-03,2024-01-11,KwaZulu-Natal,Normal,Web,Completed
O-101160,2024-01-06,2024-01-14,Free State,Normal,Mobile,Completed
O-101161,2024-03-07,2024-03-17,Gauteng,Normal,Mobile,Completed
O-101162,2024-02-20,2024-02-25,Mpumalanga,Normal,Web,Completed
O-101163,2024-03-07,2024-03-11,Western Cape,Express,Web,Completed
O-101164,2024-03-11,2024-03-16,Gauteng,Normal,Mobile,Completed
O-101165,2024-01-24,2024-01-31,KwaZulu-Natal,Normal,Mobile,Completed
O-101166,2024-03-20,2024-03-23,Mpumalanga,Express,Mobile,Completed
O-101167,2024-01-12,2024-01-21,KwaZulu-Natal,Express,Web,Completed
O-101168,2024-03-18,2024-03-26,Mpumalanga,Normal,Mobile,Completed
O-101169,2024-04-20,2024-04-25,Mpumalanga,Normal,Web,Completed
O-101170,2024-02-12,2024-02-17,KwaZulu-Natal,Normal,Mobile,Completed
O-101171,2024-04-01,2024-04-07,Free State,Normal,Web,Completed
O-101172,2024-04-13,2024-04-18,Gauteng,Normal,Mobile,Completed
O-101173,2024-04-07,2024-04-17,Western Cape,Normal,Mobile,Completed
O-101174,2024-01-24,2024-01-29,Free State,Normal,Web,Completed
O-101175,2024-01-25,2024-02-01,Gauteng,Normal,Mobile,Completed
O-101176,2024-03-14,2024-03-22,Free State,Normal,Mobile,Completed
O-101177,2024-03-17,2024-03-25,Western Cape,Normal,Web,Completed
O-101178,2024-02-04,2024-02-10,Limpopo,Normal,Web,Completed
O-101179,2024-02-14,2024-02-22,Free State,Normal,Mobile,Completed
O-101180,2024-04-28,2024-05-05,Gauteng,Normal,Web,Completed
O-101181,2024-03-16,2024-03-23,Limpopo,Normal,Mobile,Completed
O-101182,2024-01-19,2024-01-24,Free State,Normal,Web,Completed
O-101183,2024-02-06,2024-02-13,Gauteng,Normal,Web,Completed
O-101184,2024-03-17,2024-03-25,Limpopo,Normal,Web,Completed
O-101185,2024-02-29,2024-03-07,Mpumalanga,Express,Web,Completed
O-101186,2024-03-26,2024-03-30,Free State,Express,Web,Completed
O-101187,2024-03-05,2024-03-13,KwaZulu-Natal,Normal,Mobile,Completed
O-101188,2024-04-16,2024-04-24,Limpopo,Normal,Mobile,Completed
O-101189,2024-03-27,2024-04-04,Limpopo,Normal,Mobile,Completed
O-101190,2024-03-31,2024-04-07,Gauteng,Normal,Web,Completed
O-101191,2024-02-09,2024-02-16,Mpumalanga,Normal,Web,Completed
O-101192,2024-03-31,2024-04-07,Gauteng,Normal,Web,Completed
O-101193,2024-03-30,2024-04-05,Limpopo,Normal,Mobile,Completed
O-101194,2024-01-20,2024-01-24,Gauteng,Normal,Mobile,Completed
O-101195,2024-03-06,2024-03-13,Limpopo,Normal,Mobile,Completed
O-101196,2024-02-07,2024-02-13,KwaZulu-Natal,Normal,Web,Completed
O-101197,2024-04-28,2024-05-05,Western Cape,Normal,Mobile,Completed
O-101198,2024-03-04,2024-03-10,Free State,Normal,Web,Completed
O-101199,2024-03-02,2024-03-06,KwaZulu-Natal,Normal,Web,Completed
O-101200,2024-04-16,2024-04-22,Free State,Normal,Web,Completed
O-101201,2024-01-23,2024-01-30,Limpopo,Normal,Web,Completed
O-101202,2024-01-01,2024-01-07,KwaZulu-Natal,Normal,Mobile,Completed
O-101203,2024-02-03,2024-02-09,Gauteng,Normal,Mobile,Completed
O-101204,2024-03-10,2024-03-17,Mpumalanga,Normal,Web,Completed
O-101205,2024-04-15,2024-04-19,Limpopo,Express,Web,Completed
O-101206,2024-03-13,2024-03-17,Gauteng,Normal,Web,Completed
O-101207,2024-01-09,2024-01-16,Western Cape,Normal,Web,Completed
O-101208,2024-02-21,2024-02-29,Limpopo,Normal,Mobile,Completed
O-101209,2024-04-20,2024-04-27,Free State,Normal,Web,Completed
O-101210,2024-03-14,2024-03-21,Mpumalanga,Normal,Mobile,Completed
O-101211,2024-04-19,2024-04-26,Gauteng,Normal,Web,Completed
O-101212,2024-04-10,2024-04-18,Free State,Normal,Mobile,Completed
O-101213,2024-02-06,2024-02-14,Gauteng,Normal,Mobile,Completed
O-101214,2024-04-27,2024-05-02,Gauteng,Normal,Mobile,Completed
O-101215,2024-01-23,2024-01-30,Western Cape,Normal,Mobile,Completed
O-101216,2024-04-04,2024-04-11,Limpopo,Normal,Mobile,Completed
O-101217,2024-04-18,2024-04-25,Limpopo,Normal,Mobile,Completed
O-101218,2024-04-28,2024-05-04,KwaZulu-Natal,Normal,Web,Completed
O-101219,2024-04-27,2024-05-05,KwaZulu-Natal,Normal,Mobile,Completed
O-101220,2024-02-29,2024-03-07,Western Cape,Normal,Web,Completed
O-101221,2024-03-08,2024-03-15,Mpumalanga,Express,Web,Completed
O-101222,2024-01-14,2024-01-23,KwaZulu-Natal,Normal,Mobile,Completed
O-101223,2024-03-23,2024-03-31,Mpumalanga,Express,Mobile,Completed
O-101224,2024-02-20,2024-02-27,Gauteng,Normal,Mobile,Completed
O-101225,2024-01-17,2024-01-25,Western Cape,Normal,Mobile,Completed
O-101226,2024-02-03,2024-02-12,Free State,Normal,Web,Completed
O-101227,2024-01-06,2024-01-11,Mpumalanga,Normal,Web,Completed
O-101228,2024-01-24,2024-01-30,Free State,Normal,Mobile,Completed
O-101229,2024-01-28,2024-02-05,Mpumalanga,Express,Mobile,Completed
O-101230,2024-03-30,2024-04-07,Mpumalanga,Normal,Mobile,Completed
O-101231,2024-02-28,2024-03-06,KwaZulu-Natal,Express,Web,Completed
O-101232,2024-03-11,2024-03-18,KwaZulu-Natal,Normal,Web,Completed
O-101233,2024-03-08,2024-03-15,KwaZulu-Natal,Normal,Web,Completed
O-101234,2024-01-27,2024-02-03,Mpumalanga,Express,Mobile,Completed
O-101235,2024-02-10,2024-02-14,Western Cape,Express,Web,Completed
O-101236,2024-03-03,2024-03-10,Western Cape,Normal,Web,Completed
O-101237,2024-04-08,2024-04-17,Mpumalanga,Express,Web,Completed
O-101238,2024-02-16,2024-02-27,Mpumalanga,Normal,Mobile,Completed
O-101239,2024-03-01,2024-03-09,Western Cape,Normal,Web,Completed
O-101240,2024-02-19,2024-02-26,Mpumalanga,Normal,Mobile,Completed
O-101241,2024-01-27,2024-02-06,Free State,Normal,Mobile,Completed
O-101242,2024-01-03,2024-01-13,Gauteng,Normal,Mobile,Completed
O-101243,2024-04-13,2024-04-18,Mpumalanga,Normal,Web,Completed
O-101244,2024-01-13,2024-01-21,Western Cape,Express,Mobile,Completed
O-101245,2024-04-02,2024-04-09,KwaZulu-Natal,Normal,Web,Completed
O-101246,2024-01-31,2024-02-07,Gauteng,Normal,Web,Completed
O-101247,2024-02-23,2024-02-28,Western Cape,Normal,Web,Completed
O-101248,2024-04-02,2024-04-09,Mpumalanga,Normal,Mobile,Completed
O-101249,2024-04-10,2024-04-15,KwaZulu-Natal,Express,Web,Completed
O-101250,2024-01-17,2024-01-23,KwaZulu-Natal,Normal,Web,Completed
O-101251,2024-04-07,2024-04-10,Gauteng,Normal,Web,Completed
O-101252,2024-03-09,2024-03-11,Mpumalanga,Express,Web,Completed
O-101253,2024-04-13,2024-04-19,Mpumalanga,Normal,Mobile,Completed
O-101254,2024-04-16,2024-04-23,KwaZulu-Natal,Express,Mobile,Completed
O-101255,2024-02-24,2024-02-29,Gauteng,Express,Mobile,Completed
O-101256,2024-03-11,2024-03-15,KwaZulu-Natal,Express,Web,Completed
O-101257,2024-01-27,2024-02-05,Free State,Normal,Mobile,Completed
O-101258,2024-04-14,2024-04-23,Limpopo,Normal,Mobile,Completed
O-101259,2024-02-03,2024-02-06,Free State,Normal,Mobile,Completed
O-101260,2024-02-25,2024-03-01,Free State,Express,Web,Completed
O-101261,2024-02-08,2024-02-15,KwaZulu-Natal,Express,Mobile,Completed
O-101262,2024-02-23,2024-03-04,Western Cape,Normal,Web,Completed
O-101263,2024-03-07,2024-03-13,Mpumalanga,Express,Mobile,Completed
O-101264,2024-03-26,2024-04-03,Gauteng,Express,Web,Completed
O-101265,2024-04-23,2024-04-29,KwaZulu-Natal,Normal,Web,Completed
O-101266,2024-02-16,2024-02-23,Mpumalanga,Normal,Web,Completed
O-101267,2024-01-20,2024-01-24,Western Cape,Express,Mobile,Completed
O-101268,2024-04-22,2024-05-01,Gauteng,Normal,Web,Completed
O-101269,2024-03-26,2024-04-02,KwaZulu-Natal,Normal,Web,Completed
O-101270,2024-01-30,2024-02-06,Gauteng,Normal,Mobile,Completed
O-101271,2024-04-24,2024-04-30,Gauteng,Normal,Mobile,Completed
O-101272,2024-04-21,2024-04-29,Western Cape,Normal,Web,Completed
O-101273,2024-03-27,2024-04-05,KwaZulu-Natal,Normal,Web,Completed
O-101274,2024-02-25,2024-03-03,Gauteng,Normal,Web,Completed
O-101275,2024-04-23,2024-04-29,Limpopo,Normal,Mobile,Completed
O-101276,2024-02-06,2024-02-11,Limpopo,Normal,Mobile,Completed
O-101277,2024-01-16,2024-01-25,KwaZulu-Natal,Normal,Mobile,Completed
O-101278,2024-04-01,2024-04-07,Limpopo,Express,Web,Completed
O-101279,2024-02-28,2024-03-05,Limpopo,Express,Web,Completed
O-101280,2024-02-03,2024-02-11,KwaZulu-Natal,Normal,Web,Completed
O-101281,2024-04-05,2024-04-08,KwaZulu-Natal,Normal,Web,Completed
O-101282,2024-04-10,2024-04-14,KwaZulu-Natal,Express,Web,Completed
O-101283,2024-02-23,2024-03-02,Western Cape,Normal,Web,Completed
O-101284,2024-01-06,2024-01-11,Gauteng,Normal,Mobile,Completed
O-101285,2024-01-07,2024-01-15,Mpumalanga,Normal,Mobile,Completed
O-101286,2024-02-05,2024-02-10,Gauteng,Normal,Mobile,Completed
O-101287,2024-03-01,2024-03-09,Western Cape,Normal,Mobile,Completed
